latitude,longitude,area_sq_km,capacity_mw,capacity_factor,wind_speed_150meters,landfall_distance_to_transmission_km,bathymetry_meters,distance_to_coast_km
47.236,-126.775,100.3428,533.2844388,0.418632656,8.760454178,103.1090389,-2549.97583,171.1287656
47.264,-126.634,105.2919,559.5870536,0.415021896,8.711831093,103.1090389,-2511.763916,160.4446875
47.293,-126.493,112.7844,599.4068878,0.411481887,8.663977623,103.1090389,-2493.671875,150.1305938
47.321,-126.351,112.7844,599.4068878,0.407588452,8.611353874,103.1090389,-2454.231201,139.6890938
47.35,-126.21,99.7272,530.0127551,0.402950615,8.554307938,103.1090389,-2377.251465,129.4743047
47.378,-126.068,112.7844,599.4068878,0.398223877,8.491467476,103.1090389,-1909.821289,118.8682578
47.406,-125.926,112.7844,599.4068878,0.392801791,8.424072266,103.1090389,-1729.963989,108.5087891
47.434,-125.784,112.7844,599.4068878,0.387015074,8.350597382,103.1090389,-1589.942505,98.20279688
47.461,-125.642,112.7844,599.4068878,0.380667388,8.268323898,103.1090389,-1471.896484,87.97032813
47.489,-125.5,112.7844,599.4068878,0.374259472,8.185232162,103.1090389,-1348.80896,77.83834375
47.517,-125.358,112.7844,599.4068878,0.366794467,8.089488983,103.1090389,-1112.416138,67.8479375
47.544,-125.215,112.7844,599.4068878,0.358445644,7.977505684,103.1090389,-672.9033203,57.97188281
47.571,-125.073,105.6645,561.5672832,0.348862797,7.852509499,103.1090389,-388.2853088,48.40264453
46.614,-129.24,19.9179,105.8561862,0.453015178,9.294957161,103.1090389,-2644.234131,360.4537188
46.645,-129.102,56.2221,298.799426,0.451940268,9.27875042,103.1090389,-2672.108398,350.9944063
46.676,-128.963,109.5039,581.9722577,0.450697064,9.255096436,103.1090389,-2699.293213,340.6994688
46.706,-128.825,112.7844,599.4068878,0.449204206,9.231834412,103.1090389,-2729.94043,330.2740625
46.737,-128.686,112.7844,599.4068878,0.447788596,9.206280708,103.1090389,-2744.807617,319.7324688
46.767,-128.547,112.7844,599.4068878,0.446065545,9.176087379,103.1090389,-2747.075928,309.1961563
46.797,-128.408,112.7844,599.4068878,0.444745213,9.14758873,103.1090389,-2672.752197,298.6658125
46.827,-128.269,112.7844,599.4068878,0.442716449,9.117694855,103.1090389,-2677.685791,288.1420313
